"distributed";"ImplicitSubjectType.PASSIVE";"A beneficiary person or an authorised entity established in a Member State may import or otherwise obtain or access and thereafter use, in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564, an accessible format copy of a work or other subject matter that has been distributed, communicated or made available to beneficiary persons or to authorised entities, by an authorised entity in a third country that is a party to the Marrakesh Treaty.";"32017R1563";"['work', 'beneficiary person', '‘accessible format copy', 'authorised entity']";"{'distributed': ['authorised entity', 'beneficiary person'], 'communicated': ['authorised entity', 'beneficiary person'], 'made': ['beneficiary person', 'authorised entity']}"
"communicated";"ImplicitSubjectType.PASSIVE";"A beneficiary person or an authorised entity established in a Member State may import or otherwise obtain or access and thereafter use, in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564, an accessible format copy of a work or other subject matter that has been distributed, communicated or made available to beneficiary persons or to authorised entities, by an authorised entity in a third country that is a party to the Marrakesh Treaty.";"32017R1563";"['work', 'beneficiary person', '‘accessible format copy', 'authorised entity']";"{'distributed': ['authorised entity', 'beneficiary person'], 'communicated': ['authorised entity', 'beneficiary person'], 'made': ['beneficiary person', 'authorised entity']}"
"made";"ImplicitSubjectType.PASSIVE";"A beneficiary person or an authorised entity established in a Member State may import or otherwise obtain or access and thereafter use, in accordance with the national legislation adopted pursuant to Directive (EU) 2017/1564, an accessible format copy of a work or other subject matter that has been distributed, communicated or made available to beneficiary persons or to authorised entities, by an authorised entity in a third country that is a party to the Marrakesh Treaty.";"32017R1563";"['work', 'beneficiary person', '‘accessible format copy', 'authorised entity']";"{'distributed': ['authorised entity', 'beneficiary person'], 'communicated': ['authorised entity', 'beneficiary person'], 'made': ['beneficiary person', 'authorised entity']}"
"making";"ImplicitSubjectType.GERUND";"An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall establish and follow its own practices to ensure that it akes appropriate steps to discourage the unauthorised reproduction, distribution, communication to the public and making available to the public of accessible format copies;";"32017R1563";"['work', 'beneficiary person', '‘accessible format copy', 'authorised entity']";"{'making': ['authorised entity', 'beneficiary person']}"
"processing";"ImplicitSubjectType.NOMINALIZED_VERB";"An authorised entity established in a Member State shall establish and follow the practices referred to in the first subparagraph in full respect of the rules applicable to the processing of personal data of beneficiary persons referred to in Article 6.";"32017R1563";"['work', 'beneficiary person', '‘accessible format copy', 'authorised entity']";"{'the processing': ['authorised entity', 'beneficiary person']}"
"carrying";"ImplicitSubjectType.GERUND";"An authorised entity established in a Member State carrying out the acts referred to in Articles 3 and 4 shall provide the following information in an accessible way, on request, to beneficiary persons, other authorised entities or rightholders the list of works or other subject matter for which it has accessible format copies and the available formats;";"32017R1563";"['work', 'beneficiary person', '‘accessible format copy', 'authorised entity']";"{'carrying': ['authorised entity', 'beneficiary person']}"
"established";"ImplicitSubjectType.PASSIVE";"Registration of one or more domain names under the .eu TLD can be requested by an undertaking that is established in the Union;";"32019R0517";"['Registry', 'Registrar', 'Internationalised Domain Name protocols', 'WHOIS database', 'registration']";"{'established': ['Registrar', 'registration']}"
"established";"ImplicitSubjectType.PASSIVE";"Registration of one or more domain names under the .eu TLD can be requested by an organisation that is established in the Union without prejudice to the application of national law.";"32019R0517";"['Registry', 'Registrar', 'Internationalised Domain Name protocols', 'WHOIS database', 'registration']";"{'established': ['Registrar', 'registration']}"
"allocated";"ImplicitSubjectType.PASSIVE";"A domain name shall be allocated to the eligible party whose request was first received by the Registry in the technically correct manner as laid down by the procedures for registration requests on the basis of point (b) of Article 11.";"32019R0517";"['Registry', 'Registrar', 'Internationalised Domain Name protocols', 'WHOIS database', 'registration']";"{'allocated': ['Registrar', 'registration']}"
"functioning";"ImplicitSubjectType.NOMINALIZED_VERB";"A domain name may also be revoked, and where necessary subsequently transferred to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered by its holder without rights or legitimate interest in the name;";"32019R0517";"['Registry', 'Registrar', 'Internationalised Domain Name protocols', 'WHOIS database', 'registration']";"{'the functioning': ['Registrar', 'registration'], 'following': ['Registrar', 'registration'], 'revoked': ['Registrar', 'registration'], 'transferred': ['Registrar', 'registration']}"
"following";"ImplicitSubjectType.GERUND";"A domain name may also be revoked, and where necessary subsequently transferred to another party, following an appropriate ADR or judicial procedure, in accordance with the principles and procedures on the functioning of the .eu TLD laid down pursuant to Article 11, where that name is identical or confusingly similar to a name in respect of which a right is established by Union or national law, and where it has been registered by its holder without rights or legitimate interest in the name;";"32019R0517";"['Registry', 'Registrar', 'Internationalised Domain Name protocols', 'WHOIS database', 'registration']";"{'the functioning': ['Registrar', 'registration'], 'following': ['Registrar', 'registration'], 'revoked': ['Registrar', 'registration'], 'transferred': ['Registrar', 'registration']}"
